country_code	income_fy23	populationquartile_2021	country_war	age0to14_percent	age15to65over_percent	age65over_percent	people_per_sqkm	populationgrowth_percent	urbanpopulation_percentoftotal	urbanpopulationgrowth_percent	ruralpopulation_percentoftotal	ruralpopulationgrowth_percent	schoolenrollment_secondary_female_percent	schoolenrollment_secondary_male_percent	gdp_percapita_lcu	gdpgrowth_percent	deathrate_per1000	mortality_rta_per100000	physicians_per1000	surgicalprocedures_per100000	risk_impoverishing_surgicalcare_percent	risk_catastrophic_surgicalcare_percent	pushedbelow_60percent_poverty_healthcareexpenditure_percent	healthexpenditure_percentofgdp	healthexpenditure_percapita_usd	outofpocketexpenditure_percentcurrenthealthexpenditure	outofpocketexpenditure_over25percenthouseholdincome_percentofpeople	netofficialaidanddevassistance_2020usd	Density_Diff_2022_2016
ATG	4	1	0	21.7338019	68.6106694	9.65552866	224.381818	0.81360794	24.38	0.59587234	75.62	0.88390784	89.72818	87.87115	31230.4513	5.27084884	6.484	0.0	2.7673					4.44295979	760.264954	24.2651005		28000000.0	-2.200220022
NRU	4	1	0				543.65	0.35933148	100.0	0.35933148	0.0		72.9097	70.71547	8214.84411	1.5			1.3462	7130.0				9.78171635	1049.44702	1.14929473		55500000.0	-39.3081761
SYC	4	1	0	23.7361993	67.8630647	8.40073604	215.656522	0.74874884	57.972	1.48553139	42.028	-0.2587014	82.59028	77.63271	207344.61	1.84690038	6.8	11.3	2.4717	4268.0	2.6	5.0	10.65736	5.1902914	839.773315	25.22789	1.29809296	16770000.46	0.0
KNA	4	1	0				205.946154	0.66330885	30.906	0.86785555	69.094	0.57194903	99.6962	96.26943	38890.3037	-1.0245786	8.1		2.7672					5.39632845	1087.80103	46.3679695		28360000.61	-3.640069889
CAF	1	2	0	43.0348003	54.1481969	2.81700275	7.89750393	1.8508283	42.648	2.91157175	57.352	1.06927093	9.70857	15.72045	158013.28	0.90000001	11.722	37.7	0.0721		75.0	76.3	13.29501	7.75300884	37.1995812	60.3156509	1.22224975	770030029.3	0.0
GNB	1	1	0	41.6895312	55.3932684	2.91720045	71.6746088	2.38455596	44.617	3.33264874	55.383	1.62724903			256852.814	3.80000243	9.268	32.2	0.1274		61.4	81.2	14.74866	8.34976101	62.5755768	65.1556091	0.95382929	123699996.9	-0.7220164475
SLE	1	2	0	40.0054266	57.0565323	2.93804106	112.792228	2.03946336	43.372	3.08008907	56.628	1.24969651	41.00903	42.52242	1266744.76	3.05020269	11.296	33.0	0.074	372.0	47.9	50.4	13.71255	8.74976635	46.1579552	55.1825714	3.04469943	607169982.9	0.0
SSD	1	3	1	41.0701499	55.5663822	3.36346794	18.0105562	1.66247124	20.514	3.20994739	79.486	1.26695107	4.49366	6.45559	1491.89102	-10.793365	10.22	36.7		268.0			19.95808	6.04213858	22.6381874	23.527586	4.04738188	1912030029.0	0.0
COM	2	1	0	38.7460873	58.0764724	3.17744029	477.407845	2.14575387	29.613	2.93550586	70.387	1.81534773	51.66721	49.09022	479224.996	2.34780357	7.061	26.6	0.1699		34.2	54.1	19.30878	5.17030334	72.3237991	61.8279648	1.64124095	80040000.92	0.0
SWZ	2	1	0	36.9522383	59.0348374	4.01292434	68.1609884	1.04651136	24.369	1.86256307	75.631	0.78498378	47.09057	36.35775	38508.1735	7.42613228	8.877	33.5	0.0961				12.47551	6.78069067	264.055145	10.5772104	1.29342175	73120002.75	-0.1575905042
KIR	2	1	0	35.8326743	59.8202517	4.34707394	149.861728	1.61276406	56.335	2.93665243	43.665	-0.0697817			1527.77695	-0.5469869	6.251	1.9	0.2039	1718.0	89.3	0.0		10.2641439	172.30574	0.1049399		57970001.22	-7.2417851
LSO	2	2	0	32.1439836	62.8346161	5.02140033	71.1155138	0.78185718	29.48	2.32696899	70.52	0.14295233	50.02598	32.73142	9535.90509	1.01587082	13.689	31.9	0.0692		38.6	24.8		11.2694635	124.193634	13.761529	1.35076404	146809997.6	0.0
FSM	2	1	0	30.9658162	64.4141277	4.62005608	166.078571	1.06713339	23.068	1.65429745	76.932	0.89173996			2078.10559	-3.1882099	6.681	0.2	0.1942		36.4	5.6		11.4420805	415.198273	2.86158395		91910003.66	0.0
WSM	2	1	0	37.0988613	57.7010127	5.20012591	70.7222615	0.87015107	17.742	0.04506788	82.258	1.04900977	89.73174	81.59628	9312.3621	-8.0785628	5.188	13.0	0.3445	1552.0				6.36309385	271.915771	10.1381912		125569999.7	-3.648778962
STP	2	1	0	41.279861	55.6274847	3.09265427	232.670833	1.89961082	75.073	2.86190939	24.927	-0.9438417	68.83567	61.7004	20173.8018	1.8	4.706	27.9	0.3159				8.218964	5.52976227	108.446404	17.6580296	1.15235507	52700000.76	0.0
SLB	2	1	0	39.8895732	56.3883886	3.72203819	25.1516613	2.46145611	25.128	4.30089989	74.872	1.85162108	28.91144	32.94859	15052.6637	-0.17726	4.221	16.5	0.1937	868.0	48.8	7.7		4.77362394	111.904488	3.43970704		230289993.3	0.0
TLS	2	1	0	36.62608	59.077011	4.29690901	90.3749159	1.91064954	31.695	3.10082218	68.305	1.36315891	67.0025	58.58363	1626.35034	4.39999846	5.893	11.9	0.7687	433.0	49.1	4.9	2.76067	7.15850592	92.670044	8.15130901	0.54629922	240229995.7	0.0
VUT	2	1	0	38.1522209	58.2136588	3.63412028	25.7968827	2.35333746	25.665	2.90013852	74.335	2.16524101	49.82538	48.12172	213467.996	0.53165202	5.129	14.9	0.1653	1277.0	13.3	2.9		3.36034679	104.249611	8.53738308		133970001.2	-3.476473928
DMA	3	1	0				96.2293333	0.25110478	71.395	0.67961899	28.605	-0.8104632	91.18397	84.38385	15349.1659	6.53574657	9.6	10.9	1.1034					5.46006632	440.169861	33.859642		52409999.85	-8.294051783
GRD	3	1	0	23.756647	66.2213217	10.0220313	332.397059	0.4398457	36.694	0.86945487	63.306	0.19167145	82.76135	92.51908	20009.4961	5.3163253	9.587	8.0	1.4363					4.96524	534.274414	54.4209557		15020000.46	-4.70150166
MHL	3	1	0				331.211111	0.71373565	78.162	1.18730347	21.838	-0.9631629	58.42967	53.41091	3396.74763	-2.5000024	3.7	5.7	0.4233					16.3414002	664.318481	11.6624956		65440002.44	-5.67129192
PLW	3	1	0				39.5086957	0.45221497	81.483	1.06582591	18.517	-2.2043508			13680.0796	-9.7374179	7.6	4.78	1.4205					15.1504889	2355.6958	12.0024033		24770000.46	0.0
VCT	3	1	0	21.575007	68.2715728	10.1534203	285.305128	0.28980832	53.452	1.08019611	46.548	-0.6101864	91.64213	87.44717	20550.7151	0.73510736	9.384	7.4	0.941	2509.0				4.75291252	354.808655	29.1140595		86010002.14	-3.657644477
TON	3	1	0	34.3583739	59.6768453	5.96478082	148.276389	0.99974474	23.104	1.02280796	76.896	0.99281611	83.70213	80.56171	9791.62417	0.6546986	7.045	33.0	0.5403	5061.0	5.2	2.3		4.98149967	242.372772	9.8578825		109910003.7	-7.576762071
TUV	3	1	0				397.5	1.12157013	64.785	2.31761601	35.215	-1.0424165	71.19497	62.48507	5786.16352	2.98507463			0.9091	3417.0				23.961813	972.612427	0.32330775		37360000.61	-30.32447185
GMB	1	2	0	43.8189023	53.6661647	2.51493298	245.744763	2.8663756	63.222	3.88379819	36.778	1.14124344			26181.9085	5.62649914	7.55	29.6	0.1073		31.5	21.4	12.7601	3.82171082	29.7258034	23.1936207	0.02828525	198740005.5	-0.06351352045
LBR	1	2	0	40.0315393	56.6086503	3.35981042	53.7812292	2.39379229	52.573	3.31870414	47.427	1.37842318	14.61057	16.74498	669.107323	4.00001	7.257	38.9	0.0376	462.0	18.5	23.2	16.38693	8.47005749	52.56287	54.3960457	1.13130105	604580017.1	0.01930424415
GNQ	3	1	0	36.8265724	60.8036025	2.36982515	51.6895187	3.28862715	73.561	3.91726342	26.439	1.56009158			3328192.09	-0.9453919	8.908	27.2	0.4017					3.13503671	254.891098	75.46521		65379997.25	-0.90558724466
FJI	3	1	0	28.9098754	65.0644696	6.02565494	49.4197592	0.71748718	57.74	1.575061	42.26	-0.4424566	88.84323	80.44146	9631.91952	-4.0814249	8.327	13.5	0.86	1490.0				3.81607008	235.675018	13.194603	0.11060274	142860000.6	-1.017340852
GUY	3	1	0	27.4775219	65.2085342	7.31394387	4.01487935	0.47815789	26.897	0.89165011	73.103	0.32644953	84.39333	80.3473	2273207.54	19.9272289	7.65	22.3	1.819		18.0	26.1		4.93048668	325.885162	34.8306961		118580001.8	-0.004378801900000007
BDI	1	3	1	45.0531205	52.489708	2.45717144	477.236332	3.02056285	14.058	5.54176912	85.942	2.61413792	31.01462	24.03288	148309.524	1.7953	7.611	35.5	0.1001		98.2	90.6	15.45547	7.99091434	20.5675411	24.6763573	0.43286356	601539978.0	0.007074471112999999
BTN	2	1	0	24.5548777	69.1130122	6.3321101	20.4483482	1.06838733	43.008	2.69046071	56.992	-0.1384927	76.54685	64.10904	83849.8377	-10.076341	6.261	16.2	0.46	2639.0	6.7	2.5	4.182159	3.60761595	115.980759	17.7904301	1.76505041	184339996.3	-1.1814503263
CPV	2	1	0	27.6651634	67.4159723	4.91886428	139.429529	1.05789665	67.102	1.73085977	32.898	-0.3008658	74.47218	66.42105	272928.272	6.95244869	5.536	26.8	0.7814		11.0	16.3	11.55973	4.93621731	177.890274	24.9407673		156460006.7	-1.3953584517
BWA	3	2	0	33.0207935	62.3240217	4.65518486	4.22995077	1.9211497	71.56	2.88019587	28.44	-0.4520587			77917.3132	11.3641364	5.718	26.4	0.2893		6.5	1.7	8.192589	6.04836559	481.533051	3.1368885	0.20519167	68650001.53	-0.36703395689999996
MDV	3	1	0	19.8737346	76.3296586	3.7966068	1812.06667	0.56781335	41.102	1.6270279	58.898	-0.1647709			123491.815	30.9628423	2.734	1.6	1.7084				11.36111	8.04001141	854.370605	16.4522572	4.06677771	72959999.08	0.3679040506
SUR	3	1	0	26.4090909	66.2990875	7.29182156	3.79357692	0.87642444	66.219	0.98213976	33.781	0.66951989	63.96008	52.04255	24614.8179	-3.4786642	7.451	15.3	0.8194		30.7	32.0	8.712032	9.7369957	619.247131	16.0925331	1.35123324	23739999.77	-0.7767746301
GIN	1	3	0	42.7122381	54.3129694	2.97479248	54.9293383	2.73726893	37.264	3.78665195	62.736	2.1191288	25.56081	38.73981	5392818.81	3.12323	8.033	29.7	0.0832		46.1	55.8	9.983227	3.98389959	43.0378227	59.2154274	1.25234067	592409973.1	-0.010358387770000001
BLZ	3	1	0	28.7636387	66.0752654	5.16109594	17.751644	1.81778782	46.201	2.19961311	53.799	1.49104636	73.35268	68.98259	6533.71695	9.75316324	4.797	22.6	1.078	1964.0	23.2	28.3		5.96689224	293.412598	21.8106232	3.0999999	38369998.93	-0.1120889262
LCA	3	1	0	17.7207158	71.6930586	10.5862256	302.296721	0.41953163	18.94	0.94356606	81.06	0.29748168	81.71289	80.91649	25649.6142	6.59932736	7.334	29.8	0.6409				12.43988	4.32460737	502.181702	46.2526512	1.9294014	32659999.85	-1.095755007
BHS	4	1	0	21.2966066	70.6706507	8.03274269	39.6517483	0.92791764	83.365	1.07194993	16.635	0.20922413	65.04684	59.92424	24783.7819	13.7197349	6.93	7.7	1.9387					5.74977493	2004.61633	26.2340012			1.007774984
ISL	4	1	0	19.1517185	64.7823086	16.0659729	3.69230388	1.57889895	93.944	1.62805354	6.056	0.81945769	92.39913	90.18292	7162113.38	3.6997924	6.3	2.0	4.1416		0.1	33.3		8.63868046	6274.95947	15.4622812			1.074416793
