country_code	populationquartile_2021	age0to14_percent	age65over_percent	deathrate_per1000	physicians_per1000	risk_impoverishing_surgicalcare_percent	healthexpenditure_percentofgdp	outofpocketexpenditure_percentcurrenthealthexpenditure	outofpocketexpenditure_over25percenthouseholdincome_percentofpeople	Density_Diff_2022_2016
SYC	1	23.7361993	8.40073604	6.8	2.4717	2.6	5.1902914	25.22789	1.29809296	0.0
CAF	2	43.0348003	2.81700275	11.722	0.0721	75.0	7.75300884	60.3156509	1.22224975	0.0
GNB	1	41.6895312	2.91720045	9.268	0.1274	61.4	8.34976101	65.1556091	0.95382929	-0.7220164475
SLE	2	40.0054266	2.93804106	11.296	0.074	47.9	8.74976635	55.1825714	3.04469943	0.0
COM	1	38.7460873	3.17744029	7.061	0.1699	34.2	5.17030334	61.8279648	1.64124095	0.0
LSO	2	32.1439836	5.02140033	13.689	0.0692	38.6	11.2694635	13.761529	1.35076404	0.0
TLS	1	36.62608	4.29690901	5.893	0.7687	49.1	7.15850592	8.15130901	0.54629922	0.0
GMB	2	43.8189023	2.51493298	7.55	0.1073	31.5	3.82171082	23.1936207	0.02828525	-0.06351352045
LBR	2	40.0315393	3.35981042	7.257	0.0376	18.5	8.47005749	54.3960457	1.13130105	0.01930424415
BDI	3	45.0531205	2.45717144	7.611	0.1001	98.2	7.99091434	24.6763573	0.43286356	0.007074471112999999
BTN	1	24.5548777	6.3321101	6.261	0.46	6.7	3.60761595	17.7904301	1.76505041	-1.1814503263
BWA	2	33.0207935	4.65518486	5.718	0.2893	6.5	6.04836559	3.1368885	0.20519167	-0.36703395689999996
SUR	1	26.4090909	7.29182156	7.451	0.8194	30.7	9.7369957	16.0925331	1.35123324	-0.7767746301
GIN	3	42.7122381	2.97479248	8.033	0.0832	46.1	3.98389959	59.2154274	1.25234067	-0.010358387770000001
BLZ	1	28.7636387	5.16109594	4.797	1.078	23.2	5.96689224	21.8106232	3.0999999	-0.1120889262
TCD	3	46.2299021	2.51240542	11.715	0.0542	60.4	4.3536315	57.2234383	1.575423	-0.26483832077
COG	2	40.950286	2.81385247	6.546	0.1064	66.7	2.08331084	45.8619919	0.65937674	-0.35556910546
MUS	1	16.404161	13.0321737	8.7	2.5331	1.7	6.19943714	45.7204628	1.90461314	-0.319151731
TGO	2	40.3036122	2.93664376	8.199	0.0776	68.9	5.72606897	66.2097778	2.43388295	0.026346319139999998
GAB	2	37.3581561	3.53309271	6.603	0.6819	6.9	2.76836205	23.0880222	0.71676666	-0.3907227173
NAM	2	36.6849557	3.61706831	7.732	0.5914	21.6	8.49700546	8.23502064	0.31883052	-0.07722632109999994
BEN	3	41.7240969	3.29997334	8.567	0.0647	46.0	2.38842916	47.0435677	0.97716814	0.04779714356999999
MLI	3	46.7317599	2.47096063	9.163	0.1286	53.1	3.89389849	31.3529644	0.08951681	0.037369560569999995
HTI	3	32.1075822	5.28078006	8.379	0.2343	73.8	4.72808981	43.2952995	3.98440552	-0.26802852033
ARM	2	20.7929782	12.2822575	9.801	4.4023	3.5	11.3352642	84.7942963	7.09430599	0.349697909
EST	1	16.4864528	20.7574037	11.9	3.4629	2.6	6.7304492	24.0453682	1.18823802	-0.23915901500000003
PAN	2	26.2396958	8.76679389	5.143	1.6324	9.7	7.58405781	27.5701408	0.65158492	0.0534447938
CMR	3	41.7792987	2.72755573	8.879	0.0881	39.3	3.59539533	72.5307007	1.78449023	0.06109171789
LBN	2	24.4653314	7.89084768	4.566	2.1038	0.1	8.64661503	33.5359383	6.30000019	1.7118330987
TZA	4	43.2910303	2.67124675	6.122	0.0603	73.6	3.82769322	22.1512833	0.81676877	0.01383176207
KGZ	2	32.5566098	4.93716692	6.1	2.213	33.4	4.49454117	46.181427	0.72351229	0.24381141209999996
CYP	1	16.4538197	14.7422967	7.182	1.9509	0.1	7.00903225	30.5682697	1.59415042	2.1620972360000006
MLT	1	14.4212528	21.8124413	7.9	2.8598	0.0	8.21444321	34.6480827	2.74729896	0.5804178622
MNG	2	31.1956997	4.47759266	6.354	3.8518	35.6	3.76607823	34.767334	1.33400679	-0.40859701949999994
LKA	3	23.4327644	11.6334323	6.851	1.1539	14.8	4.07979679	45.6366005	0.89853585	-0.21063172659999999
RWA	3	39.2440319	3.2071147	5.047	0.1182	54.9	6.41066742	11.6721802	0.1307219	0.027558292429999996
LUX	1	15.5951192	14.6472825	7.3	3.0073	0.0	5.37075996	9.62240314	0.28100699	0.5496308830000001
COD	4	45.6129448	3.02749271	9.118	0.0899	84.4	3.53626084	38.4970055	0.61039168	0.011978051551999998
MDG	3	39.8170662	3.16375144	5.819	0.1812	80.1	3.68728375	32.5162506	0.63126212	0.03434736179
LVA	1	16.7687588	21.0476812	15.2	3.3015	10.2	6.57814217	35.7198181	5.70008898	-0.09455905500000017
SVN	2	15.105228	21.2674217	11.4	3.1721	0.0	8.52386475	11.6613169	0.31002721	0.03295124810000005
GHA	4	36.888026	3.20999262	7.145	0.1064	18.1	3.41858864	36.2175407	0.11108952	0.0047021317100000015
